English,Spanish,Portuguese,French,Mandarin (Simplified),Polish,German
I give all I have when I work with others to achieve a bigger purpose.,Doy lo mejor que tengo cuando trbaajo con otros para lograr un propósito aun mas grande.,Dou tudo o que tenho quando trabalho com outras pessoas para alcançar um propósito maior.,Je donne tout ce que j'ai quand je travaille avec d'autres pour atteindre un but plus important.,当我与他人合作为去达成更大的目标时我会倾尽全力,"Daję z siebie wszystko, żeby osiągnąć większy cel. ","Ich gebe alles, was ich habe, wenn ich mit anderen arbeite, um einen größeren Zweck zu erreichen."
I give my all every time I work with others to achieve a bigger purpose.,Doy mi todo cada vez que trabajo con otros para lograr un proposito aun mas grande.,Dou o meu melhor cada vez que trabalho com outros para alcançar um propósito maior.,Je donne mon tout chaque fois que je travaille avec d'autres pour atteindre un but plus grand.,我贡献了我所有的时间和别人工作去达成更大的目标,"Daję z siebie wszystko przy pracy w grupie, aby osiągnąć większy cel. ","Ich gebe alles, wenn ich mit anderen arbeite, um einen größeren Zweck zu erreichen."
I have a clear understanding of my personal values.,Tengo un claro entendimiento de mis valores personales.,Tenho uma compreensão clara dos meus valores pessoais.,J'ai une compréhension claire de mes valeurs personnelles.,我对我的个人价值观有清晰的认识,Posiadam jasne zrozumienie swoich wartości. ,Ich habe ein klares Verständnis meiner persönlichen Werte.
I have an inner drive towards developing others the best I can.,Tengo un impulso interno hacia el desarrollo de otros lo mejor que pueda.,Tenho um impulso interior para desenvolver os outros o melhor que posso.,J'ai une volonté intérieure de développer les autres du mieux que je peux.,我内心驱使着我尽可能帮助他人,Ciągnie mnie do pomocy innym w rozwoju jak tylko mogę. ,"Ich habe den inneren Drang, andere so gut wie möglich zu entwickeln."
I have an inner need to understand what/’s happening in the world,Tengo una necesidad interna por comprender lo que sucede en el mundo,Tenho uma necessidade interior de entender o que está a acontecer no mundo,J'ai un besoin intérieur de comprendre ce qui se passe dans le monde,我对了解世界上正在发生什么有发自内心的需求,"Czuję wewnętrzną potrzebę wiedzy na temat tego, co się dzieje na świecie.","Ich habe ein inneres Bedürfnis zu verstehen, was in der Welt passiert"
I have clarity about what my strengths and weaknesses are.,Tengo claridad sobre cuales son mis fortalezas y debilidades,Tenho clareza sobre quais são os meus pontos fortes e fracos.,J'ai des précisions sur mes forces et faiblesses.,我清楚我的强项和弱项都是什么,Znam swoje mocne i słabe strony. ,Ich habe Klarheit darüber was meine Stärken und Schwächen sind. 
I have clear reasons to care about what/’s happening in the world.,Tengo razones claras para que me importe lo que esta sucediendo en el mundo.,Tenho razões claras para me importar com o que está acontecendo no mundo,J'ai des raisons claires de m'inquiéter de ce qui se passe dans le monde.,我有清楚的理由去关心这个世界上发生了些什么,"Mam jasny powód, dla którego przejmuję się tym co się dzieje na świecie. ","Ich habe klare Gründe mich dafür zu interessieren, was in der Welt passiert."
I have gained clarity about my own strengths and weaknesses during my AIESEC experience,E ganado claridad acerca de mis propias fortalezas y debilidades durante mi experiencia en AIESEC.,Ganhei clareza sobre as minhas próprias forças e fraquezas durante a minha experiência na AIESEC,J'ai acquis la clarté sur mes propres forces et faiblesses pendant mon expérience d'AIESEC,我的AIESEC经历让我理清了我的优缺点,W trakcie swojego doświadczenia w AIESEC zyskałam/en wiedzę na temat swoich mocnych i słabych stron. ,Während meiner AIESEC-Erfahrung habe ich Klarheit über meine eigenen Stärken und Schwächen gewonnen
I have the desire to engage in activities that directly improve the lives of others.,Tengo el deseo de comprometerme en actividades directamente relacionadas con la vida de otros.,Tenho o desejo de me envolver em atividades que melhoram diretamente a vida dos outros.,J'ai le désir de m'engager dans des activités qui améliorent directement la vie des autres.,我有参与进可以直接提高他人生活质量的活动的意愿,"Czuję potrzebuję zaanagażowania się w aktywności, które bezpośrednio poprawiają życie innych. ","Ich habe den Wunsch, mich an Aktivitäten zu beteiligen, die das Leben anderer direkt verbessern."
I have very clear moral standards.,Tengo estandares morales muy claros.,Tenho standards morais muito claros,J'ai des normes morales très claires.,我有很清晰的道德标准,Mam jasno określone standardy moralne. ,Ich habe klare Moralstandards.
I keep myself informed about what/’s going on in the world.,Me mantengo informado acerca de las cosas que pasan en el mundo.,Mantenho-me informado sobre o que está a acontecer no mundo.,Je me tiens informé(e) sur ce qui se passe dans le monde.,我使自己保持对这个世界上正在发生什么的了解,"Pilnuję, aby być na bieżąco z tym, co się dzieje na świecie. ","Ich halte mich informiert darüber, was in der Welt passiert."
I know what are the world issues that I truly care about.,Yo se cuales son los temas mundiales por los que realmente me preocupo.,Sei quais são os temas mundiais que relmente me importam,Je sais quels sont les enjeux mondiaux qui m'intéressent vraiment.,我很了解那些我真正关心的世界实事,"Wiem, które problemy świata są dla mnie najważniejsze.","Ich weiß, welche globale Probleme mich wahrlich bewegen."
I know which are my true personal passions in life.,Se cuales son mis verdaderas pasiones personales en la vida.,Sei quais são as minhas verdadeiras paixões pessoais na vida.,Je sais qui sont mes vraies passions personnelles dans la vie.,我了解在生活中我真正的个人爱好,Potrafię wskazać swoje prawdziwe pasje w życiu. ,"Ich weiß, was meine wahren persönlichen Leidenschaften im Leben sind."
I know which are the key global trends that are shaping the world today.,Yo se cuales son las tendencias mundiales que estan moldeando al mundo hoy en día.,Sei quais são as principais tendências globais que estão a moldar o mundo de hoje.,Je sais quelles sont les principales tendances mondiales qui façonnent le monde d'aujourd'hui.,我知道现在全球化趋势塑造世界的关键是什么,"Wiem, które trendy światowe kształtują dzisiejszy świat. ","Ich weiß, welche globalen Trends die Welt heute prägen."
I learn the most from the challenging situations I face.,Aprendo lo mas que puedo de las experiencias desafiantes a las que me enfrento.,Aprendo mais com as situações desafiadoras que enfrento.,J'apprends le plus de situations difficiles auxquelles je fais face.,我从曾经面对过的挑战中学到的最多,"Najwięcej się uczę dzięki wyzwaniom, jakie podejmuję. ","Ich lerne am meisten aus den herausfordernden Situationen, denen ich gegenüberstehe."
I make important decisions mostly based on my values.,Hago desiciones importantes basado en mis valores.,Tomo decisões importantes baseadas principalmente nos meus valores.,Je prends des décisions importantes fondées en grande partie sur mes valeurs.,我做的重大决定大多数都是基于我的价值观的,Podejmuję ważne decyzje na podstawie swoich wartości. ,Ich treffe wichtige Entscheidungen hauptsächlich basierend auf meinen Werten.
I never compromise in doing what my values tell me is right.,Nunca comprometo en hacer lo que mis valores me dicen que es correcto.,Nunca me comprometo a fazer o que meus valores me dizem que é certo.,Je ne fais jamais de compromis en faisant ce que mes valeurs me disent est juste.,对于我的价值定义的正确的事情我从不让步,Nigdy nie poświęcam swoich wartości na rzecz jakiejś decyzji. ,"Ich mache niemals Kompromisse bei dem, was meine Werte mir sagen."
I pay attention to the reasons behind the actions of others.,Presto atención a las rezones detras de las acciones de otros.,Presto atenção às razões por trás das ações dos outros.,Je prête attention aux raisons derrière les actions des autres.,我关注别人行动背后的原因,"Zwracam uwagę na powody, dla których inni podejmują decyzje. ","Ich interessiere mich für die Gründe hinter dem, was Menschen tun."
I possess a good knowledge about key current global issues.,Poseo un buen conciemiento en los principales problemas mundiales actuales.,Possuo um bom conhecimento sobre as principais questões globais atuais.,Je possède une bonne connaissance des principaux enjeux mondiaux actuels.,我对关键的世界时事有不错的了解,Posiadam dużą wiedzę na temat najważniejszych problemów świata. ,Ich verfüge über gute Kenntnisse über wichtige aktuelle globale Probleme.
I possess certain skills that allow me to have a positive impact in my community.,Poseo ciertas habilidades que me permiten tener un impacto postivo en mi comunidad.,Possuo certas habilidades que me permitem ter um impacto positivo na minha comunidade.,Je possède des compétences qui me permettent d'avoir un impact posiif sur ma communauté.,我拥有可以对我所在的群体产生正面影响的能力,"Posiadam umiejętności, które pozwalają mi mieć pozytywny wpływ na moje środowisko lokalne. ","Ich besitze bestimmte Fähigkeiten, die es mir ermöglichen, positive Auswirkungen auf meine Gemeinschaft zu haben."
I possess skills that allow me to have an impact in other people's lives.,Yo poseo las habilidades que me permiten impactar en la vida de otros.,Eu tenho habilidades que me permitem impactar a vida dos outros,Je possède les compétences pour avoir un impact sur la vie d'autrui.,我拥有影响他人的能力,"Posiadam umiejętności, które pozwalają mi mieć pozytywny wpływ na ludzi wokół mnie. ","Ich verfüge über Fähigkeiten, die es mir ermöglichen, Einfluss auf das Leben anderer Menschen zu nehmen."
I possess the capacity to sell my ideas.,Poseo la capacidad de vender mis ideas.,Possuo a capacidade de vender as minhas idéias.,J'ai la capacité de vendre mes idées.,我拥有能力售出我的创意,"Posiadam zdolność ""sprzedania"" swoich pomysłów innym. ","Ich habe die Fähigkeit, meine Ideen zu verkaufen."
I possess the needed determination to work towards a goal in the middle of uncertainty.,Poseo la determinación encesaria para trabajar por un fin en medio de la incertidumbre.,Possuo a determinação necessária para trabalhar em prol de um objetivo no meio da incerteza.,Je possède la détermination nécessaire pour travailler vers un but malgré l'incertitude.,在不确定期间我拥有所需的决心为目标奋斗,Posiadam niezbędną determinację do osiągnięcia celu mimo niepewności. ,"Ich habe die nötige Entschlossenheit, auf ein Ziel mitten in der Unsicherheit hinzuarbeiten."
I rely on myself and stay positive when walking through uncertainty.,Confio en mi mismo y me mantengo positivo cuando camino a traves de la incertidumbre.,Confio em mim mesmo e fico positivo quando ando pela incerteza.,Je me fie à moi-même et reste positif malgré l'incertitude.,在不确定的环境下我能依靠自己并保持积极心态,Polegam na sobie i pozostaję pozytywnym w niepewności. ,"Ich verlasse mich auf mich selbst und bleibe positiv, wenn ich durch Unsicherheiten gehe."
I respect and value other people/’s opinions.,Yo respeto y valoro la opinión de otras personas.,Respeito e valorizo ​​as opiniões de outras pessoas.,Je respecte et valorise les opinions des autres.,我尊重和珍惜他人的意见,Szanuję opinię innych. ,Ich respektiere und schätze andere Meinungen.
I revisit and review my personal values at least once a year.,Yo reviso y análiso mis valores personales al menos una vez al año.,Revisito e revejo os meus valores pessoais pelo menos uma vez por ano.,Je revisite et révise mes valeurs personnelles au moins une fois par an.,我至少每年会重提或复习一遍我的价值观,Wracam i analizuję swoje wartości przynajmniej raz do roku. ,Ich reviewe  meine persönlichen Werte mindestens einmal im Jahr.
I see how far the consequences of my actions can reach.,Soy consiente de que tan lejos las consecuencias de mis acciones pueden llegar.,Vejo até onde as consequências de minhas ações podem chegar.,Je vois l’étendu des conséquences de mes actions.,我知道我的行为会产生多远的影响,"Wiem, jak daleko mogą sięgać konsekwencje moich akcji. ","Ich sehe, wie weit die Konsequenzen meiner Handlungen reichen können."
I see myself as a good team player able to contribute to the team goals' achievement.,Me veo a mi mismo como un buen miebro de equipo capaz de contribuir a los logros de la meta del equipo.,Vejo-me como um bom membro da equipa capaz de contribuir para a realização das metas da equipa.,Je me considère comme un bon joueur d'équipe capable de contribuer à la réalisation des objectifs de l'équipe.,我将自己看作是一个好的成员能够为队伍目标的达成奉献力量,"Widzę siebie jako dobrego gracza zespołowego, który potrafi pomóc grupie w osiagnięciu celu. ","Ich sehe mich als ein guter Teamplayer, der in der Lage ist, einen Beitrag zum Erreichen der Teamziele zu leisten."
I see myself on the light of my strengths and not my weaknesses.,Me veo a mi mismo en la luz de mis foralezas y no en mis debilidades.,Vejo-me à luz dos meus pontos fortes e não das minhas fraquezas.,Je me vois à la lumière de mes forces et non de mes faiblesses.,我会从强项而不是从弱项这方面来考虑自己,"Widzę siebie w świetle swoich mocnych stron, nie słabych. ",Ich sehe mich selbst im Licht meiner Stärken und nicht meiner Schwächen.
I see risk taking as a way to conquer my fears.,Veo la toma de riesgos como una forma para conquistar mis miedos.,Vejo a tomada do risco como uma maneira de conquistar os meus medos.,Je vois la prise de risque comme un moyen de conquérir mes peurs.,我认为冒险是克服自己内心恐惧的一种途径,"Wiem, że opłaca się podejmować ryzyko, żeby pokonać swoje lęki. ","Ich sehe Risikobereitschaft als einen Weg, meine Ängste zu überwinden."
I strive to gain practical expertise in areas I/’m passionate about.,yo me essfuerzo por ganar experiencia en las areas donde siento pasión.,Esforço-me para ganhar experiência prática nas áreas pelas quais sou apaixonado.,Je m'efforce d'acquérir une expertise pratique dans les domaines qui me passionnent.,我努力在我热衷的领域获得专业知识,"Staram się zdobyć praktyczne doświadczenie w obszarach, które mnie pasjonują. ","Ich bin bestrebt, praktische Erfahrung in Bereichen zu sammeln, die mich begeistern."
I strive to make choices that constantly lead me to live a passionate life style.,Me esfuerzo por tomar decisiones que constantemente me guien a vivir un estilo de vida apasionado.,Esforço-me para fazer escolhas que constantemente me levam a viver um estilo de vida apaixonado.,Je m'efforce de faire des choix qui me conduisent constamment à vivre un style de vie passionné.,我致力于作出选择让我过上我热爱的生活,"Staram się podejmować decyzje, które prowadzą mnie do życia pełnego pasji. ","Ich bemühe mich, Entscheidungen zu treffen, die mich immer wieder zu einem leidenschaftlichen Lebensstil führen."
I strive to see things from other people/’s perspectives.,Me esfuerzo por ver las cosas desde la perpectiva de otras personas.,Esforço-me para ver as coisas das perspectivas de outras pessoas.,Je m'efforce de voir les choses du point de vue des autres.,我致力于从他人的角度看问题,"Staram się postawić się na miejscu innych, by zrozumieć ich perspektywę. ","Ich bemühe mich, Dinge aus anderen Perspektiven zu sehen."
I take big challenges in order to accelerate my personal growth.,Tomo desafios grandes para así acelerar mi proceso personal de crecimiento.,Entro em grandes desafios para acelerar o meu crescimento pessoal.,Je prends de grands défis afin d'accélérer ma croissance personnelle.,我接受大的挑战是为了加快我的个人成长,"Podejmuję duże wyzwania, żeby rozwijać siebie. ","Ich nehme große Herausforderungen an, um mein persönliches Wachstum zu beschleunigen."
I understand and accept that everybody has strengths and weaknesses.,Entiendo y acepto que todos tenemos fortalezas y debilidades.,Compreendo e aceito que todos têm pontos fortes e fracos.,Je comprends et j'accepte que tout le monde a ses forces et ses faiblesses.,我明白且接受每个人都有长处和短处,"Rozumiem i akceptuję, że każdy ma mocne i słabe strony. ","Ich verstehe und akzeptiere, dass jeder Stärken und Schwächen hat."
I understand and accept that not everybody has the same pace for performance.,Entiendo y acepto que no todos tienen el mismo ritmo de rendimiento.,Compreendo e aceito que nem todos têm o mesmo ritmo de desempenho.,Je comprends et j'accepte que tout le monde n'a pas le même rythme de performance.,我理解且接受不是每个人在表现时都有同样的节奏,"Rozumiem i akceptuję, że nie każdy ma takie samo tempo pracy. ","Ich verstehe und akzeptiere, dass nicht jeder das gleiche Tempo für die Leistung hat."
I understand and accept what my strengths and weaknesses are.,Entiendo y acepto cuales son mis fortalezas y debilidades.,Entendo e aceito quais são os meus pontos fortes e fracos.,Je comprends et j'accepte mes forces et mes faiblesses.,我理解并且能接受我的强项和弱项,Rozumiem i akceptuję swoje mocne i słabe strony. ,"Ich verstehe und akzeptiere, was meine Stärken und Schwächen sind."
I understand how my core values define the person I am constantly becoming.,Entiendo como mis valores base definen constantemente la persona en la que me estoy convirtiendo.,Entendo como é que os meus valores base definem constantemente a pessoa que me estou a tornar.,Je comprends comment mes valeurs fondamentales définissent la personne que je suis constamment en devenir.,我知道我的核心价值观是怎么定义我的发展方向的,"Rozumiem wartości,  którymi kieruję się w życiu, które definiują osobę, którą jestem. ","Ich verstehe, wie meine Kernwerte die Person definieren, die ich ständig werde."
"I understand that, to a certain degree, I am responsible for what happens in my society.","Yo entiendo que hasta cierto grado , yo soy responsable por lo que pasa en mi sociedad.","Eu entendo que, até certo ponto, sou responsável pelo que acontece na minha sociedade.","Je comprends que je suis, dans une certaine mesure, responsable de ce qui se passe dans la société.",我清楚在某些程度上我对这个社会上发生的事情需要负一定责任,"Rozumiem, że do pewnego stopnia jestem odpowiedzialny/a za to co się dzieje w społeczeństwie. ","Ich verstehe, dass ich bis zu einem gewissen Grad verantwortlich bin für das, was in meiner Gesellschaft passiert."
I understand the role my values play in the way I live my life.,Entiendo el rol que ejercen mis valores en la forma en la que vivo mi vida.,Entendo o papel que os meus valores têm na maneira que vivo a minha vida.,Je comprends le rôle que jouent mes valeurs dans ma façon de vivre.,我知道在我的生活中我的价值观扮演了什么角色,"Rozumiem rolę, jaką moje wartości grają w moim życiu. ","Ich verstehe die Rolle, die meine Werte in der Art spielen, wie ich mein Leben lebe."
I usually don/’t complain about how things are.,Usualmente no me quejo de como son las cosas.,Geralmente não reclamo sobre como as coisas são.,Je ne me plains pas habituellement de comment les choses sont.,我总是不会抱怨事情怎么这样,Zazwyczaj nie narzekam na stan rzeczy. ,Normalerweise beschwere ich mich nicht über die Dinge.
I usually listen without interrupting.,Usualmente escucho sin interrumpir.,Normalmente escuto sem interromper.,J'écoute habituellement sans interrompre.,我经常倾听而不去打断他人讲话,Słucham bez przerywania. ,"Normalerweise höre ich zu, ohne zu unterbrechen."
I value myself based on my strengths and not based on my weaknesses.,Me valoro a mi mismo basado en mis fortalrzas y no en mis debilidades.,Valorizo-me ​​com base nas minhas forças e não baseado nas minhas fraquezas.,Je me valorise en me basant sur mes points forts et non sur mes faiblesses.,我评价自己会基于强项而不是弱项,"Wartościuję siebie na podstawie swoich mocnych stron, nie słabych. ",Ich schätze mich aufgrund meiner Stärken und nicht aufgrund meiner Schwächen.
I was able to pursue opportunities to practice my passions throughout my exchange experience.,E sido capaz de perseguir oportunidades para practicar mis pasiones a traves de mi experiencia de intercambio.,Fui capaz de procurar oportunidades para praticar as minhas paixões durante toda a minha experiência de intercâmbio.,J'ai été en mesure de poursuivre des occasions de pratiquer mes passions tout au long de mon expérience d'échange.,因为这段海外经历，我有机会将自己的爱好付诸实践。,Chcę wykorzystywać okazję do rozwoju swoich pasji poprzez doświadczenie na wymianie. ,"Ich konnte während meiner Austausch-Erfahrung Gelegenheiten suchen, meine Leidenschaften aus zu üben."
I work well in a team that strives to achieve clear goals.,Trabajo bien en un quipo que aspira lograr metas claras.,Trabalho bem numa equipa que se esforça para alcançar objetivos claros.,Je travaille bien dans une équipe qui s'efforce d'atteindre des objectifs clairs.,我在队伍中好好工作是为了达成明确的目标,"Dobrze mi się pracuje w zespole, który skupia się na osiągnięciu jasno określonego celu. ","Ich arbeite gut in einem Team, das klare Ziele anstrebt."
I'm willing to give the best I have in the process of developing and empowering others.,Deseo dar lo mejor de mi en el proceso de desarrollar y empoderar a otros.,Estou disposto a dar o melhor que eu tenho no processo de desenvolvimento e capacitação de outros.,Je suis prêt à donner le meilleur que j'ai dans le processus de développement et d'autonomisation des autres.,助于他人发展和帮助别人过程中我愿意拿出我自己所拥有的最好的,Daję z siebie wszystko w procesie wspierania w rozwoju innych. ,"Ich bin bereit, mein Bestes zu geben, um andere zu entwickeln und zu stärken."
I/’m always ready to take the risks I see necessary.,Siempre estoy listo para tomar riesgos que considero necesarios.,Estou sempre pronto para assumir os riscos que vejo necessários.,Je suis toujours prêt à prendre les risques que je vois comme nécessaires.,我总是准备好承担我认为必要的风险,"Zawsze jestem gotowa/y na podjęcie ryzyka, jeśli to konieczne. ","Ich bin immer bereit, die Risiken einzugehen, die ich für notwendig halte."
I/’m interested in the current state of the world.,Estoy interesado en el estado actual del mundo.,Estou interessado no atual estado do mundo,Je suis intéressé par l'état actuel du monde.,我对世界现在处于什么状态很有兴趣,Interesuje mnie stan świata. ,Ich bin am gegenwärtigen Zustand der Welt interessiert.
I/’m interested in understanding current world issues.,Estoy interesado en comprender los problemas mundiales actuales.,Estou interessado em entender os problemas mundias atuais,Je suis intéressé à comprendre les problèmes actuels du monde.,我对了解世界时事很有兴趣,Interesują mnie bieżące sprawy świata. ,"Ich bin daran interessiert, aktuelle Weltprobleme zu verstehen."
I/’ve become more interested in the current state of the world throughout my engagement with AIESEC.,Me he vuelto mas interesado en el estado actual del mundo a traves de mi involucramiento con AIESEC.,Fiquei mais interessado no estado atual do mundo ao longo do meu compromisso com a AIESEC.,Je suis devenu plus intéressé par l'état actuel du monde tout au long de mon engagement avec AIESEC.,在我与AIESEC打交道的过程中，我对世界的现状更感兴趣了,Dzięki swojemu doświadczeniu w AIESEC bardziej interesuję się bieżącymi sprawami świata. ,Während meines Engagements bei AIESEC habe ich mich mehr für den aktuellen Zustand der Welt interessiert.
I/’ve been able to explore what I/’m truly passionate about throughout my AIESEC experience.,E sido capaz de explorar cuales son mis verdaderas pasiones en la vida a traves de mi experiencia en AIESEC,Tenho sido capaz de explorar o que eu sou verdadeiramente apaixonado durante toda a minha experiência na AIESEC.,J'ai pu explorer ce que je suis vraiment passionné tout au long de mon expérience AIESEC.,通过我在AIESEC的经历，我已经能够发现了我生活中的激情所在,Dzięki swojemu doświadczeniu w AIESEC mogłam/em odkryć swoje pasje. ,"Ich konnte während meiner AIESEC-Erfahrung erkunden, für was ich wirklich leidenschaftlich bin."
I/’ve been able to pursue opportunities to practice my passions throughout my AIESEC Experience.,E sido capaz de perseguir oportunidades para practicar mis pasiones a traves de las experiencias en AIESEC,Tenho sido capaz de perseguir oportunidades para praticar minhas paixões durante toda a minha experiência na AIESEC.,J'ai été en mesure de poursuivre des occasions de pratiquer mes passions tout au long de mon expérience AIESEC.,因为AIESEC，我有机会将自己的爱好付诸实践。,Dzięki swojemu doświadczenie w AIESEC mogłam/em rozwinąć swoje pasje. ,"Ich konnte während meiner gesamten AIESEC-Erfahrung nach Möglichkeiten suchen, meine Leidenschaften zu üben."
I/’ve defined which are my most important values in life.,E definido cuales son mis valores mas importantes en la vida.,Defini quais são os  valores pessoais mais importantes na vida.,J'ai défini quelles sont mes valeurs les plus importantes dans la vie.,我已经定义了什么是我生活中最重要的价值观,Określiłam/em jakie wartości są dla mnie najważniejsze. ,"Ich habe definiert, welche meine wichtigsten Werte im Leben sind."
I/’ve developed the capacity of listening without interrupting throughout my AIESEC experience.,E desarrollado la capacidad de escuchar sin interrumpir debido a mi involucramiento con AIESEC,Desenvolvi a capacidade de ouvir sem interromper durante toda a minha experiência AIESEC,J'ai développé la capacité d'écoute sans interruption tout au long de mon expérience AIESEC.,通过AIESEC我学会了做一个好的倾听者。,Dzięki swojemu doświadczeniu w AIESEC rozwinęłam/em umiejętność słuchania bez przerywania. ,"Ich habe während meiner AIESEC-Erfahrung die Fähigkeit des Zuhörens entwickelt, ohne zu unterbrechen."
I/’ve developed the capacity to sell my ideas throughout my involvement in AIESEC.,E desarrollado la capacidad de vender mis ideas a traves de mi envolvimiento con AIESEC,Desenvolvi a capacidade de vender minhas idéias ao longo do meu envolvimento na AIESEC.,J'ai développé la capacité de vendre mes idées tout au long de mon implication dans AIESEC.,因为AIESEC，我学会了向其他人推销我的想法。,"Dzięki swojemu doświadczeniu w AIESEC potrafię ""sprzedać"" swoje pomysły. ","Ich habe während meines Engagements bei AIESEC die Fähigkeit entwickelt, meine Ideen zu verkaufen."
I/’ve discovered what I am truly passionate about in life.,E descubierto sobre lo que realmente estoy apasionado en la vida.,Descobri pelo o que eu realmente sou apaixonado na vida.,J'ai découvert ce que je suis vraiment passionné dans la vie.,我已经发现在生活中我对什么抱有真正的热情,Odkryłam/em swoje życiowe pasje. ,"Ich habe entdeckt, wovon ich im Leben wirklich begeistert bin."
I/’ve figured out what my role is in making my community a better place to live in.,E descubierto cual es mi rol en hacer a mi comunidad un mejor lugar para vivir.,Descobri qual é meu papel em fazer da minha comunidade um lugar melhor para morar.,J'ai compris quel était mon rôle afin de rendre ma communauté un meilleur endroit où vivre.,我已经清楚在让这个社会变得更好更宜居的过程中我的角色是什么,Odkryłam/em jaka jest moja rola w zmianie mojego środowiska lokalnego na lepsze. ,"Ich habe herausgefunden, was meine Rolle darin ist, meine Gemeinde zu einem besseren Ort zum Leben zu machen."
I/’ve got a clear picture of what my passions are.,Tengo una clara imágen de cuales son mis pasiones.,Eu tenho uma imagem clara do que são minhas paixões.,J'ai une image claire de mes passions.,我清楚地了解我的爱好是什么,Potrafię jasno określić swoje pasje. ,"Ich habe ein klares Bild davon, was meine Leidenschaften sind."
Iceland,Islandia,Islândia,Islande,冰岛,Islandia,Island
Icelandic,Islandés,Islandês,Islandais,冰岛语,Islandzki ,isländisch
Image editing,Edición de Imágenes,Edição de imagens,Retouche d'images,图像编辑,Edytowanie obrazów ,Bildbearbeitung
iMovie,iMovie,iMovie,iMovie,iMovie,iMovie,iMovie
Impact date,Fecha del impacto,Data do impacto,Date d'impact,影响日期,Impact date ,Wirkungsdatum
"Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable","Implementar sistemas y medidas de protección social apropiados a nivel nacional para todos, incluidos los pisos, y para el año 2030 lograr una cobertura sustancial de los pobres y vulnerables","Implementar sistemas e medidas de protecção social adequados a nível nacional para todos, incluindo os pisos, e até 2030 alcançar uma cobertura substancial dos pobres e vulneráveis","Mettre en place des systèmes et des mesures de protection sociale appropriés au niveau national pour tous, y compris les planchers, et, d'ici à 2030, assurer une couverture substantielle des populations pauvres et vulnérables",实行适合本国国情的包括住房在内的社会保障制度和措施，并且要在2030年以前实现对贫困人口和弱势群体的全面覆盖,"Wdrożyć właściwe dla poszczególnych krajów systemy i mechanizmy ochrony socjalnej dla wszystkich ludzi, włączając w to najniższe klasy społeczne oraz do 2030 roku objąć nimi jak największą liczbę grup ubogich i wrażliwych.","Implementierung von landesweit geeigneten Sozialschutzsystemen und -maßnahmen für alle, einschließlich der Ebenen, und bis 2030 eine umfassende Abdeckung der Armen und Schwachen erreichen."
"Implement the 10-year framework of programmes on sustainable consumption and production, all countries taking action, with developed countries taking the lead, taking into account the development and capabilities of developing countries","Aplicar el marco decenal de programas sobre el consumo y la producción sostenibles, en el que todos los países están tomando medidas, con los países desarrollados a la cabeza, teniendo en cuenta el desarrollo y las capacidades de los países en desarrollo.","Implementar o quadro decenal de programas sobre consumo e produção sustentáveis, com a participação de todos os países, com a liderança dos países desenvolvidos, tendo em conta o desenvolvimento e as capacidades dos países em desenvolvimento","Mettre en œuvre le cadre décennal des programmes sur la consommation et la production durables, tous les pays prenant des mesures, en prenant les pays développés en tête, en tenant compte du développement et des capacités des pays en développement",所有国家行动起来，落实可持续消费和生产的10年计划框架，其中发达国家带头，并兼顾到发展中国家的发展和能力,"Wdrożyć dziesięcioletnie programy dotyczące zrównoważonej konsumpcji i produkcji dla wszystkich krajów, przy czym kraje rozwinięte powinny tym działaniom przewodzić, z uwzględnieniem stopnia rozwoju i możliwości krajów rozwijających się.","Umsetzung des Zehnjahresrahmens für Programme für nachhaltigen Verbrauch und nachhaltige Produktion, wobei alle Länder Maßnahmen ergreifen,aber die Industrieländer die Entwicklung und die Fähigkeiten der Entwicklungsländer berücksichtigt werden."
